	topic	CID	ID	PID	stance	rebuttal	name	parent	rawTweet	label	tweet_id	postTweet	n_key	mentions	hashtags
10	marijuana	B	11	10	1	oppose	PrayerFails	cullenjb	"Then, the government really should refrain from making decisions for the general public and legalize it.
"	2	3305	decisions general government it legalize making public refrain then	9	[]	[]
11	marijuana	B	12	11	-1	oppose	cullenjb	PrayerFails	"Okay. I see where you are coming from. But by legalize it do you mean like cigarettes? As in people could freely smoke in most restaurants (in the ""smoking section"" which isn't always a separate room)?
"	1	3306	cigarettes coming freely from in legalize okay people restaurants room section separate smoke smoking	14	[]	[]
12	marijuana	B	13	12	1	oppose	PrayerFails	cullenjb	"Yes, those who smoke weed should be able to smoke in the smoking section in restaurants the same as cigarette smokers because weed or cigarettes are both drugs along with it's cousin alcohol. Both have a disgusting odor. 450,000 people die to cigarette causes a year while 0 have died from weed causes ever.  What is your fundamental reason to keep weed illegal? None of the reasons are any more than those of cigarettes or alcohol.
"	2	3307	000 450 alcohol alcohol cigarette cigarette cigarettes cigarettes cousin die died disgusting drugs ever fundamental illegal odor people reason reasons restaurants section smoke smoke smokers smoking weed weed weed weed year yes	32	[]	[]
13	marijuana	B	14	4	1	oppose	johnnyboy46	cullenjb	"Most issues like this, such as sex between minors and alcohol, come down to one thing: it's your choice. If you want to ruin your life, be my guest. It isn't the goverment's job to control that.
"	2	3308	alcohol choice control goverment guest issues job life minors ruin sex that thing this	14	[]	[]
14	marijuana	B	18	17	1	support	PrayerFails	Sulith	"The worse thing that will happen is more dope heads. It will only raise tax revenue and it would effect the economy. It would create thousands of jobs. Weed is the largest cash crop in the world. Get rid of cartels.
"	2	3312	cartels cash create crop dope economy effect happen heads jobs largest raise revenue rid tax thing thousands weed world worse	20	[]	[]
15	marijuana	B	2	-1	1	null	PrayerFails	null	"Yes, there are no deaths related to the actual use for marijuana this past year or ever in terms of health reasons.
"	2	3314	actual deaths health marijuana past reasons related terms year yes	10	[]	[]
16	marijuana	B	21	20	1	support	johnnyboy46	RTPoulson	"Man, mad props to you. If you can manage all that and still smoke, I have all the respect in the world for you.
"	2	3316	mad man manage props respect smoke world you you	9	[]	[]
17	marijuana	B	23	22	-1	oppose	johnnyboy46	unknown	"Look man, weed can really screw you up. I had a buddy who went from straight A's to dying because of pot. Hell, if you can manage to get average grades and still smoke, than mad props to you to.
"	1	3317	average buddy dying grades hell mad man manage pot props screw smoke straight to up weed	16	[]	[]
18	marijuana	B	25	-1	1	null	casper3912	null	"The only health danger is the tar, which can be practically eliminated with vaporizers; legalization would open up a larger market for vaporizers, increasing demand, increasing competition and bringing prices down so that the market expands even more. Also as part of the condition for legalization the government can provide tax breaks and such for such companies, to decrease the only serious health risk and to improve the economy.   If the purpose of a law is to give as much freedom to people without allowing those people to neglect or abuse others rights, then what right is being threatened by marijuana usage? So called ""hard drugs"" can lead to many social issues and can actually be directly correlated, and scientifically shown to be part of the cause of right violations. Marijuana has less correlation to such things then the few currently legal drugs. Marijuana is unjustly prohibited.
"	2	3318	abuse allowing breaks bringing called companies competition condition correlated correlation danger decrease demand directly drugs drugs economy eliminated expands freedom give government hard health health improve increasing increasing issues larger law lead legal legalization legalization marijuana marijuana marijuana market market more neglect open part part people people practically prices prohibited provide purpose rights risk scientifically shown social tar tax things threatened unjustly usage vaporizers vaporizers violations	66	[]	[]
19	marijuana	B	26	-1	1	null	Republican2	null	"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.
"	2	3319	appeals bankrupt biggest buy buy capital cartels case cheaply commit crimes distributer dump executing grow influence legalized legalized marijuana marijuana own people people prepared problem profitable reason table under unlimited walmart	31	[]	[]
20	marijuana	B	27	26	1	oppose	Bohemian	Republican2	"The problem is that people under the influence of marijuana are more likely to commit crimes.   There is not a single shred of scientific evidence to support this notion.
"	2	3320	commit crimes evidence influence marijuana notion people problem scientific shred single support	12	[]	[]
21	marijuana	B	28	27	-1	oppose	Republican2	Bohemian	"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.
"	1	3321	altering and argue argument common companies desperate desperate desperate does effects fire fired fix harmful have illegal illegal income influence lets lot marijuana marijuana mind money next otherwise people people people people sake sense stupid things things things use which	40	[]	[]
22	marijuana	B	29	28	1	oppose	Bohemian	Republican2	"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana?   So in other words, you have no idea, but simply think that it would? Your ""common sense"" is based on assumption. And Common sense is often wrong for this reason.  Marijuana causes lethargy, which greatly decreases ""dangerous activities"". Someone who is high on Marijuana is not going to rob a bank, or steal a car, however there is a good chance they will sit on the couch and stare in amazement as a piece of lint floats by, or watch a movie about talking animals.   But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next).   Heavy long term usage can impair short-term memory, outside of that there really isn't any. Drinking bleach isn't all that good, yet it is not illegal.    Do you know of anyone who has been fired for marijuana use?   Not personally, no.   There's a lot of companies that would fire people for that even if it wasn't illegal.   SO???  A lot of companies will fire people for showing up late to work, should that be illegal?   When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.   {Laughs!}  Their ""fix""?  {Laughs some more}  Thank you for demonstrating you have absolutely no idea what you're talking about. The sad thing is that a lot of people don't know why that's so funny. We aren't talking about heroine here, we're talking about weed. There's no such thing as a marijuana ""fix"". Marijuana is not addictive. People DONT go through marijuana withdraws, people can go through caffeine withdraws. Marijuana is less addictive than caffeine, which is why your statement that they ""need to get their fix"" is incredibly asinine. You obviously don't know anything about marijuana, which is funny because you want it to be illegal.  Let me further demonstrate why this statement is idiotic.  Desperate people, will sometimes do desperate (and often illegal) things, such as stealing a car....therefore we should outlaw cars. Following your logic.  Prohibition obviously doesn't work, which is why so many people still do marijuana, many people are sitting behind bars (costing taxpayer dollars) who should not be there in the first place. Marijuana does not hurt anybody.  I don't even like marijuana, but I can't think of a single good reason for it to be illegal.
"	2	3322	about absolutely activities addictive addictive altering amazement and and animals any anybody argue argument asinine assumption bank bars based bleach by caffeine caffeine car car cars chance common common common companies companies costing couch dangerous decreases demonstrate demonstrating desperate desperate desperate desperate desperate does dollars dont drinking effects fire fire fired fix fix fix fix floats funny funny good good good greatly harmful heavy here heroine high hurt idea idea idiotic illegal illegal illegal illegal illegal illegal illegal impair income incredibly influence late laughs laughs lethargy lets lint logic long lot lot lot marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana memory mind money more movie need next no outlaw people people people people people people people people people people people personally piece place prohibition reason reason rob sad sake sense sense sense short showing simply single sit sitting so stare statement statement steal stealing stupid talking talking talking talking taxpayer term term therefore thing thing things things things usage use watch weed which withdraws withdraws words work work would wrong	175	[]	[]
23	marijuana	B	3	2	-1	oppose	Republican2	PrayerFails	"The only reason that no one is ever reported dying from it is because it's impossible to overdose on it. There have been plenty of highway deaths associated with marajuanna use.
"	1	3323	deaths dying highway impossible it marajuanna overdose plenty reason reported use	11	[]	[]
24	marijuana	B	30	29	-1	oppose	Republican2	Bohemian	"So in other words, you have no idea, but simply think that it would? Your ""common sense"" is based on assumption. And Common sense is often wrong for this reason.   No, I have seen people do stupid things under the influence of marijuana, like attempting to drive a car while blazed out of their minds.   SO???  A lot of companies will fire people for showing up late to work, should that be illegal?   I am only trying to demonstrate a principle, not suggesting we illegalize everything that causes people to lose jobs.   Marijuana is not addictive.   ""According to the 2008 NSDUH, marijuana accounted for 4.2 million of the estimated 7 million Americans dependent on or abusing illicit drugs. In 2008, approximately 15 percent of people entering drug abuse treatment programs reported marijuana as their primary drug of abuse; 61 percent of persons under 15 reported marijuana as their primary drug of abuse, as did 56 percent of those 15 to 19 years old."" -National Institute of Drug Abuse  About 9% of frequent marijuana users will develop a dependency. That's a lot of people if you open it up to the whole nation.   Let me further demonstrate why this statement is idiotic.  Desperate people, will sometimes do desperate (and often illegal) things, such as stealing a car....therefore we should outlaw cars. Following your logic.   That is not at all my logic. if it was, I would have said that we should keep marijuana illegal because people get it illegally. Rather what I am saying is that it is only common sense that it can be a contributor to crime.   Marijuana does not hurt anybody   It most certainly does. There have been many deaths directly linked to marijuana use. Car crashes are a common way in which people under the influence of marijuana harm themselves, and others.
"	1	3324	15 15 15 19 2008 2008 56 61 abuse abuse abuse abuse abusing according accounted addictive americans and approximately assumption attempting based blazed car car car cars common common common common companies contributor crashes crime deaths demonstrate demonstrate dependency dependent desperate desperate develop directly does drive drug drug drug drug drugs entering estimated fire frequent harm hurt idea idiotic illegal illegal illegal illegalize illegally illicit influence influence institute jobs late linked logic logic lose lot lot marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana million million minds nation national no nsduh old open others outlaw people people people people people people people people percent percent percent persons primary primary principle programs reason reported reported sense sense sense showing simply so statement stealing stupid suggesting themselves therefore things things treatment use users was words work would wrong years	139	[]	[]
25	marijuana	B	32	31	-1	oppose	Republican2	zombee	"No. Neither do I think Marijuana should be illegal. I just think that if/when we make it legal, we need to be prepared for the possible ramifications of it.
"	1	3326	if illegal it legal make marijuana no prepared ramifications when	10	[]	[]
26	marijuana	B	33	30	1	oppose	Bohemian	Republican2	"No, I have seen people do stupid things under the influence of marijuana, like attempting to drive a car while blazed out of their minds.   Do you support a ban on Alcohol?   I am only trying to demonstrate a principle, not suggesting we illegalize everything that causes people to lose jobs.   Well, the principal you are trying to demonstrate doesn't help your argument, when other invalid conclusions can be drawn from the same line of reasoning.   ""According to the 2008 NSDUH, marijuana accounted for 4.2 million of the estimated 7 million Americans dependent on or abusing illicit drugs. In 2008, approximately 15 percent of people entering drug abuse treatment programs reported marijuana as their primary drug of abuse; 61 percent of persons under 15 reported marijuana as their primary drug of abuse, as did 56 percent of those 15 to 19 years old."" -National Institute of Drug Abuse  About 9% of frequent marijuana users will develop a dependency. That's a lot of people if you open it up to the whole nation.   I would really like to know what this article defines as ""dependency"" because I happen to know that marijuana does not produce withdraw when it's use is ceased.  In the broad sense almost anything can be addicting, or abused. I could abuse Tylenol, but that does not mean it is inherently addictive. So please define your terms here.   Rather what I am saying is that it is only common sense that it can be a contributor to crime.   If Soda was illegal, then drinking Soda would be a contributor to crime. It's only ""contributing to crime"" because it's illegal.   It most certainly does. There have been many deaths directly linked to marijuana use. Car crashes are a common way in which people under the influence of marijuana harm themselves, and others.   Legalizing marijuana does not necessitate repealing ""driving under the influence"" laws. Driving while high, would still be illegal, but recreational use in the privacy of one's own home should not be illegal.
"	2	3327	15 15 15 19 2008 2008 56 61 abuse abuse abuse abuse abuse abused abusing according accounted addicting addictive alcohol americans approximately argument article attempting ban blazed broad car car ceased common common conclusions contributing contributor contributor crashes crime crime crime deaths define defines demonstrate demonstrate dependency dependency dependent develop directly does drawn drinking drive driving driving drug drug drug drug drugs entering estimated frequent happen harm here high home illegal illegal illegal illegal illegalize illicit influence influence influence inherently institute invalid jobs laws legalizing line linked lose lot marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana marijuana million million minds nation national necessitate no nsduh old one open others people people people people people percent percent percent persons primary primary principal principle privacy produce programs reasoning recreational repealing reported reported sense sense soda soda stupid suggesting support terms themselves things treatment tylenol use users well withdraw years	148	[]	[]
27	marijuana	B	34	33	1	oppose	Republican2	Bohemian	"I do not support a ban on Alcohol. Nor Do I support a ban on Marijuana. In fact, I have not spent one single moment of my time here saying that it should remain illegal. All I am saying is that it does alter one's state of mind which can lead to crime just as alcohol can, whether it's addictive or not. We need to be prepared for the ramifications of legalizing Marianna if/when it happens.    If Soda was illegal, then drinking Soda would be a contributor to crime. It's only ""contributing to crime"" because it's illegal.   That's not the same logic. Ideally, marijuana use would be legal, driving would be legal, and they would never happen at the same time. But suppose it does, and someone mows down a pedestrian at a crosswalk and gets charged with manslaughter. In that case, marijuana use would be a contributor to the crime, but not illegal in itself, much like alcohol is now.   Legalizing marijuana does not necessitate repealing ""driving under the influence"" laws. Driving while high, would still be illegal, but recreational use in the privacy of one's own home should not be illegal.   I agree. But just like alcohol, people will still use it and drive. Especially if it's made legal. Again, I don't advocate it remaining illegal based on that principal, but we must be ready to deal with more high drivers, because that's probably what will happen.
"	2	3328	addictive advocate again agree alcohol alcohol alcohol alcohol alter ban ban based can case charged contributing contributor contributor crime crime crime crime crosswalk deal does drinking drive drivers driving driving driving fact happen happen happens high high home ideally if illegal illegal illegal illegal illegal illegal illegal influence itself laws lead legal legal legal legalizing legalizing logic made manslaughter marianna marijuana marijuana marijuana marijuana mind moment mows necessitate not now one one pedestrian people prepared principal privacy ramifications ready recreational remain remaining repealing single soda soda spent state support support suppose time time when	94	[]	[]
28	marijuana	B	35	34	-1	oppose	Bohemian	Republican2	"What makes you think that if we legalize marijuana more people will drive under it's influence? This is mere conjecture.
"	1	3329	conjecture drive influence legalize makes marijuana mere people	8	[]	[]
29	marijuana	B	36	34	1	oppose	Republican2	Republican2	"Again, common sense. More people would be more likely to use it, and therefore more people would be driving under the influence. There would probably be a lot of other people doing stupid things because of it too, but there's no way to argue either way on this that wouldn't be conjecture since it is a hypothetical situation.
"	2	3330	again argue common conjecture driving hypothetical influence it lot people people people sense situation stupid things too	17	[]	[]
30	marijuana	B	37	34	-1	oppose	Bohemian	Republican2	"Unless I am mistaken, lots of people are already using it, I don't think legalizing it would increase use by any significant margin, it would simply be more visible. The type of people who smoke marijuana are not the type of people who obey laws for the sake of obeying laws.
"	1	3331	increase it laws laws legalizing lots margin marijuana mistaken obey obeying people people people sake significant simply smoke type type visible	21	[]	[]
31	marijuana	B	4	2	-1	oppose	cullenjb	PrayerFails	"Whether it kills people or not, it still is harmful to your body. Ingesting smoke is not good for you. To say something should be made legal because it is less harmful or because it doesn't KILL someone is ridiculous.
"	1	3334	body good harmful harmful ingesting kill kills legal made not people ridiculous smoke you	14	[]	[]
32	marijuana	B	42	-1	1	null	johnnyboy46	null	"Here's the solution: Legalize marijuana and just tax it. That'll cut down on law enforcement costs, plus the cops can worry about more important stuff like making sure national heathcare plans don't get passed. Oh wait...
"	2	3337	cops costs cut enforcement heathcare important it law legalize ll making marijuana national passed plans solution stuff tax that wait worry	21	[]	[]
33	marijuana	B	47	44	1	oppose	johnnyboy46	Tillerman	"Reichpride is right. If you don't like the smell, you could move, you could talk to your neighbor, or you could try something revolutionary. You could IGNORE IT!
"	2	3341	ignore it move neighbor reichpride revolutionary right smell talk	9	[]	[]
34	marijuana	B	49	48	1	oppose	Bohemian	clarkrizzle	"Marijuana is a DRUG. These substances cause negative effects on the human body. Alcohol, tobacco, and even caffeine are great examples...   ...of completely legal drugs.   great examples of why marijuana should not be legalized.   On the contrary, they are great examples of why marijuana should be legalized. Both Tobacco and Alcohol are entirely legal, and have much much worse health affects than does Marijuana. There have been exactly ZERO cases of marijuana overdose.   Marijuana makes you sleepy and hungry   And this is a valid reason for it to be illegal????   it is USELESS.   So are many other legal things. Being useless is not sufficient reason to make something illegal.  This is a lazy argument.
"	2	3343	affects alcohol alcohol argument body caffeine cases completely contrary drug drugs effects examples examples examples great great great health human hungry illegal illegal lazy legal legal legal legalized legalized make makes marijuana marijuana marijuana marijuana marijuana marijuana negative of overdose reason reason sleepy substances sufficient things tobacco tobacco useless useless valid worse zero	53	[]	[]
35	marijuana	B	51	50	-1	oppose	hoegy	Muds	"Marijuana destroys the brain you forgot to mention that part.
"	1	3346	brain destroys forgot marijuana mention part	6	[]	[]
36	marijuana	B	53	52	-1	oppose	hoegy	aveskde	"The answer to the question, does marijuana effect the brain? Marijuana does not effect the brain in damage, but it can alter in functions. Marijuana effects the perception of time, distance, and speed. It upsets motor coordination, causing unsteady hands, a change in gait, uncontrolled laughter, and a lag between thought and facial expressions. Sexual functions can also be disturbed. Short-term memory deteriorates. In early stages of the use of marijuana, some users will suffer from nausea, vomiting, and diarrhea. Most users may find that when they are high the whites of their eyes and facial skin become red, and the pupils dilate and become sensitive to light, increase in appetite, and a dryness in the mouth and throat. What all these effects have in common is that they result from changes in the brain's control centers, located deep in the brain. ""Deep brain functions separated from conscious thought processes. The deep relay centers feed information to the controlling mechanisms of the consciousness."" So, when marijuana disturbs functions centered in the deep control centers, disorienting changes in the mind occur (I think that is right). The user's psychomotor coordination becomes impaired. One may suffer or develop illusions and hallucinations, have a difficulty in remembering events which just occurred, slowed thinking and a narrow attention span, ""depersonalization, euphoria or depression, drowsiness or insomnia, difficulty in making accurate self-evaluation, a loss of judgment, and mental and physical lethargy."" 123helpme.com  This make you want to smoke mary? :) cus it certainly doesnt apeal to me.
"	1	3348	123helpme accurate alter answer apeal appetite attention brain brain brain brain brain causing centered centers centers centers change com common conscious consciousness control control controlling coordination coordination cus damage deep deep deep deep depersonalization depression deteriorates develop diarrhea difficulty difficulty dilate disorienting distance disturbed disturbs doesnt drowsiness dryness early effect effect effects effects euphoria evaluation events expressions eyes facial facial feed find functions functions functions functions gait hallucinations hands high illusions impaired increase information insomnia judgment lag laughter lethargy light located loss make making marijuana marijuana marijuana marijuana marijuana mary me mechanisms memory mental mind motor mouth narrow nausea occur occurred perception physical processes psychomotor pupils question red relay remembering result right self sensitive separated sexual short skin slowed smoke so span speed stages suffer suffer term thinking thought thought throat time uncontrolled unsteady upsets user users users vomiting whites	140	[]	[]
37	marijuana	B	56	-1	-1	null	hoegy	null	"The answer to the question, does marijuana effect the brain? Marijuana does not effect the brain in damage, but it can alter in functions. Marijuana effects the perception of time, distance, and speed. It upsets motor coordination, causing unsteady hands, a change in gait, uncontrolled laughter, and a lag between thought and facial expressions. Sexual functions can also be disturbed. Short-term memory deteriorates. In early stages of the use of marijuana, some users will suffer from nausea, vomiting, and diarrhea. Most users may find that when they are high the whites of their eyes and facial skin become red, and the pupils dilate and become sensitive to light, increase in appetite, and a dryness in the mouth and throat. What all these effects have in common is that they result from changes in the brain's control centers, located deep in the brain. ""Deep brain functions separated from conscious thought processes. The deep relay centers feed information to the controlling mechanisms of the consciousness."" So, when marijuana disturbs functions centered in the deep control centers, disorienting changes in the mind occur (I think that is right). The user's psychomotor coordination becomes impaired. One may suffer or develop illusions and hallucinations, have a difficulty in remembering events which just occurred, slowed thinking and a narrow attention span, ""depersonalization, euphoria or depression, drowsiness or insomnia, difficulty in making accurate self-evaluation, a loss of judgment, and mental and physical lethargy."" 123helpme.com  This make you want to smoke mary? :) cus it certainly doesnt apeal to me.
"	1	3350	123helpme accurate alter answer apeal appetite attention brain brain brain brain brain causing centered centers centers centers change com common conscious consciousness control control controlling coordination coordination cus damage deep deep deep deep depersonalization depression deteriorates develop diarrhea difficulty difficulty dilate disorienting distance disturbed disturbs doesnt drowsiness dryness early effect effect effects effects euphoria evaluation events expressions eyes facial facial feed find functions functions functions functions gait hallucinations hands high illusions impaired increase information insomnia judgment lag laughter lethargy light located loss make making marijuana marijuana marijuana marijuana marijuana mary me mechanisms memory mental mind motor mouth narrow nausea occur occurred perception physical processes psychomotor pupils question red relay remembering result right self sensitive separated sexual short skin slowed smoke so span speed stages suffer suffer term thinking thought thought throat time uncontrolled unsteady upsets user users users vomiting whites	140	[]	[]
38	marijuana	B	59	58	1	oppose	Bohemian	debateleader	"There is no valid comparison to be drawn between cocaine and marijuana. Marijuana is not addictive, it doesn't cause cancer, you cannot overdose on it, and it doesn't make you any more likely to commit other crimes.   The only way it could be dangerous is if you drive under it's influence. Which is no different than most any prescription drug.  I've not seen a single convincing argument for why Marijuana should be illegal.
"	2	3353	addictive argument cancer cocaine commit comparison convincing crimes dangerous drawn drive drug illegal influence it make marijuana marijuana marijuana overdose prescription single valid	23	[]	[]
39	marijuana	B	6	5	-1	oppose	cullenjb	brycer2012	"Exactly. But that doesn't mean marijuana should be made legal because the other two are. It still harms your body. I don't believe the other two should be legal either. But that is a different topic.
"	1	3354	are body either exactly harms legal legal made marijuana topic	10	[]	[]
40	marijuana	B	61	60	1	support	Bohemian	ThomasLocke	"I agree with most of this, although I am talking about addiction in the medical sense, that withholding a substance will cause withdraws. Conversely nearly anything could be ""mentally addictive"" but that's more of a result of a weak state of mind that it is of an inherent addictive quality that something may posses.   I agree that because something is harmful for oneself is not reason enough to may something illegal. If someone wishes to harm their own body, this is no concern of the Government.
"	2	3356	addiction addictive addictive agree agree body concern conversely government harm harmful illegal inherent medical mentally mind oneself posses quality reason result sense state substance talking this weak wishes withdraws withholding	30	[]	[]
41	marijuana	B	9	4	1	oppose	PrayerFails	cullenjb	"In your description, you have stated  ""Many studies have shown that Marijuana doesn't hurt your body as a whole as much as alcohol and other drugs do.""   So, if doesn't hurt your body, what is the big deal for recreational use? People should have the choice just like people choose to eat fatty foods and drink soda. Studies show how those items are harmful to the body. Diabetes, and stroke.
"	2	3359	alcohol big body body body choice choose deal description diabetes do drink drugs eat fatty foods harmful hurt hurt items many marijuana people people recreational show shown so soda stated stroke studies studies use	34	[]	[]
42	marijuana	C	10	9	1	support	casper3912	Th3ZViru5	"Exactly, I was saying her argument was far too simplistic. The same argument could be used to support almost anything.
"	2	3361	anything argument argument exactly simplistic support	6	[]	[]
43	marijuana	C	13	-1	1	null	Th3ZViru5	null	"Marijuana is  much  less harmful than alcohol and tobacco. Studies have shown that marijuana increases concentration and creativity, probably because it stimulates both sides of the brain. Not to mention, were marijuana legal, it's estimated that the U.S. would save around $11 billion a year (I'm not sure if the money we would save by not arresting otherwise harmless marijuana users factors into this, but it's still quite a bit of money). It would create more job necessity and availability. And I've never heard of using marijuana making anyone aggressive, so they couldn't use that as an excuse for demonizing it. :)
"	2	3364	11 aggressive alcohol arresting availability billion bit brain concentration create creativity demonizing estimated excuse factors harmful harmless heard increases it job legal making marijuana marijuana marijuana marijuana marijuana mention money money necessity save save shown sides stimulates studies this tobacco users year	42	[]	[]
44	marijuana	C	14	13	-1	oppose	Missspelled	Th3ZViru5	"marijuance creates LACK of concentration, not an increase of concentration!   Marijuana is addicting, no matter what you say. If made legal, it will become a competitive market just like any other thing. (At least for those who don't grow it). That would mean there would still be [illegal] sellers, as they would be breeding more powerful strains to get more powerful amount of THC levels.   The more powerful it is the more addicting. Substance abuse is a health problem. We already have a huge health-care industry centered around alcohol/drug abuse. You want to add to the list?   The Tobacco Companies wait in anticipation so they can start packaging and selling to more idiots. That's right--I'm talking marijuana. No doubt they pay for studies to try to prove that marijuana is ""harmless"". They see big dollar signs, just like with tobacco.  The FDA would have to get involved to ""put a limit"" on ""acceptable"" drug levels. They would also have to enforce these rules, And just like with alcohol, they have to watch for ""bootleg"" sellers who try to sell dangerous products. Everyone will (still) want their piece of the pie.  Once legal and commercilized, competition will be fierce so at first the price will be low, but just like with gas, they will slowly squeeze you dry.
"	1	3365	abuse abuse acceptable add addicting addicting alcohol alcohol amount anticipation at big bootleg breeding care centered commercilized companies competition competitive concentration concentration creates dangerous dollar doubt drug drug dry enforce fda fierce gas grow harmless health health huge idiots illegal increase industry involved it lack legal legal levels levels limit list low made marijuana marijuana marijuana marijuance market matter packaging pay pie piece powerful powerful powerful price problem products prove put right rules say sell sellers sellers selling signs slowly squeeze start still strains studies substance talking thc thing tobacco tobacco wait watch	93	[]	[]
